ID_POO,ID_принад,Наименование_ОО
106,6,Уральский государственный юридический университет имени В.Ф. Яковлева
107,6,Уральский федеральный университет имени первого Президента России Б.Н. Ельцина
108,6,Екатеринбургский институт физической культуры (филиал) ФГБОУ ВО Уральского государственного университета физической культуры
109,6,Уральский филиал ФГБОУ ВО МГХПА им. С.Г.Строганова
110,6,НТИ НИЯУ МИФИ
111,6,Технологический институт - филиал федерального государственного автономного образовательного учреждения высшего образования Национальный исследовательский ядерный университет МИФИ
112,6,Уральский технологический колледж - филиал ФГАОУ ВО Национальный исследовательский ядерный университет МИФИ
113,6,Уральский технический институт связи и информатики (филиал) ФГБОУ ВО Сибирский государственный университет телекоммуникаций и информатики в г. Екатеринбурге
114,7,АН ПОО Уральский промышленно-экономический техникум
115,7,АН ПОО Уральский экономический колледж
116,7,АНО ПОО Институт непрерывного образования
117,7,АНО ПО Уральский колледж экономики и права
118,7,АНО ПОО Уральский институт подготовки кадров 21-й век
119,7,НОЧУ ПОО Колледж предпринимательства и социального управления
120,7,ПОЧУ Уральский Колледж Индустрии Красоты (ПОУ УрКИК)
121,7,ПОЧУ Уральский колледж недвижимости и управления
122,7,ЧПОУ Нижнетагильский экономический колледж
123,7,ЧПОУ Социально-технологический техникум
124,7,ЧПОУ Уральский Финансово-Юридический колледж
125,7,АНО ПОО Институт непрерывного образования
