id,name
124101,GAPOU SO Uralskiy gosudarstvennyy kolledzh im. I.I. Polzunova (V.Pyshma)
124102,GAPOU SO Uralskiy gosudarstvennyy kolledzh im. I.I. Polzunova (Kirov)
124700,GAPOU SO Uralskiy zheleznodorozhnyy tekhnikum
124701,GAPOU SO Uralskiy zheleznodorozhnyy tekhnikum (Krasnoufimskiy filial)
125000,GAPOU SO Uralskiy kolledzh biznesa  upravleniya i tekhnologii krasoty
125300,GAPOU SO Uralskiy kolledzh stroitelstva  arkhitektury i predprinimatelstva
125600,GAPOU SO Uralskiy kolledzh tekhnologiy i predprinimatelstva
125900,GAPOU SO Uralskiy politekhnicheskiy kolledzh - Mezhregionalnyy tsentr kompetentsiy
126200,GAPOU SO Uralskiy radiotekhnicheskiy kolledzh im.A.S.Popova
126500,GAPOU SO Uralskiy tekhnikum avtomobilnogo transporta i servisa
126800,GAPOU SO Uralskiy tekhnikum Rifey
112100,GBPOU SO Kachkanarskiy gorno-promyshlennyy kolledzh
530700,GBOUPO SO  Kamyshlovskoe uchilische-internat dlya invalidov 
127400,GBPOU SO Serovskiy metallurgicheskiy tekhnikum
127100,GBPOU SO Krasnoufimskiy pedagogicheskiy kolledzh
330100,GBPOU  Sverdlovskiy oblastnoy meditsinskiy kolledzh 
430400,GAPOU SO  Uchilische olimpiyskogo rezerva š 1 (kolledzh) 
227700,GAPOU KSO  Sverdlovskoe khudozhestvennoe uchilische imeni I.D. Shadra 
228000,GAPOU SO  Sverdlovskiy kolledzh iskusstv i kultury 
228300,GBPOU SO  Asbestovskiy kolledzh iskusstv 
228600,GBPOU SO  Krasnoturinskiy kolledzh iskusstv 
228900,GBPOU SO  Nizhnetagilskiy kolledzh iskusstv 
229200,GBPOU SO  Sverdlovskiy muzhskoy khorovoy kolledzh 
229500,GBPOU SO  Sverdlovskoe muzykalnoe uchilische imeni P.I. Chaykovskogo (kolledzh) 
229800,GBPOU SO  Uralskaya spetsialnaya muzykalnaya shkola (kolledzh) 
632500,Uralskiy filial FGBOU VO  MGKhPA im. S.G.Stroganova 
633700,Kolledzh FGBOU VO  Uralskiy gosudarstvennyy lesotekhnicheskiy universitet  (UGLTU)
634300,FGBOU VO Uralskiy gosudarstvennyy ekonomicheskiy universitet
631900,Federalnoe gosudarstvennoe avtonomnoe obrazovatelnoe uchrezhdenie vysshego obrazovaniya  Rossiyskiy gosudarstvennyy professionalno-pedagogicheskiy universitet 
633100,FGBOU VO Uralskiy GAU
633400,FGBOU VO  Uralskiy gosudarstvennyy gornyy universitet 
634000,Kolledzh FGBOU VO  Uralskiy gosudarstvennyy universitet putey soobscheniya  (UrGUPS)
634900,Ekaterinburgskiy institut fizicheskoy kultury (filial) FGBOU VO Uralskogo gosudarstvennogo universiteta fizicheskoy kultury
631000,NTI NIYaU MIFI
634600,federalnoe gosudarstvennoe byudzhetnoe obrazovatelnoe uchrezhdenie vysshego obrazovaniya  Uralskiy gosudarstvennyy yuridicheskiy universitet imeni V.F. Yakovleva 
632200,FGAOU VO  UrFU   NTI (filial) Nizhnetagilskiy mashinostroitelnyy tekhnikum
631600,Tekhnologicheskiy institut - filial federalnogo gosudarstvennogo avtonomnogo obrazovatelnogo uchrezhdeniya vysshego obrazovaniya  Natsionalnyy issledovatelskiy yadernyy universitet  MIFI 
631300,Uralskiy tekhnologicheskiy kolledzh - filial FGAOU VO Natsionalnyy issledovatelskiy yadernyy universitet MIFI
632800,Uralskiy tekhnicheskiy institut svyazi i informatiki (filial) FGBOU VO Sibirskiy gosudarstvennyy universitet telekommunikatsiy i informatiki v g. Ekaterinburge
735200,AN POO  Uralskiy promyshlenno-ekonomicheskiy tekhnikum  
735500,ANO PO  Uralskiy kolledzh ekonomiki i prava 
735800,ANO POO  Institut nepreryvnogo obrazovaniya 
736400,ANPOO Uralskiy ekonomicheskiy kolledzh
736700,NOChU POO  Kolledzh predprinimatelstva i sotsialnogo upravleniya 
736100,NChU POO  Uralskiy institut podgotovki kadrov  21-y vek 
737000,POChU  Uralskiy Kolledzh Industrii Krasoty  (POU  UrKIK )
737300,POChU  Uralskiy kolledzh nedvizhimosti i upravleniya 
738200,Chastnoe professionalnoe obrazovatelnoe uchrezhdenie  Uralskiy Finansovo-Yuridicheskiy kolledzh 
737600,ChPOU  Nizhnetagilskiy ekonomicheskiy kolledzh 
737900,ChPOU  Sotsialno-tekhnologicheskiy tekhnikum 
