ID,Образовательная организация,Профессия,Выпуск,Трудоустроены ,Трудоустроены по специальности,Индивидуальные предприниматели,Самозанятые,Продолжили обучение,Служба в ВС РФ,Служба по контракту,Декрет,Неформальная занятость,Зарегистрированы в ЦЗН в качестве безработных,Не имеют мотивации к трудоустройству,Иные причины нахождения под риском нетрудоустройства,Смерть; тяжелое состояние здоровья,Находятся под следствием; отбывают наказание ,Переезд за пределы РФ,Не могут трудоустраиваться в связи с семейными обстоятельствами,Выпускники из числа иностранных граждан; которые не имеют СНИЛС,Иное,будут трудоустроены,будут осуществлять предприни-мательскую деятельность,будут самозанятыми,будут призваны в армию,будут в армии на контрактной основе,будут продолжать обучение
1,ГАПОУ СО Алапаевский многопрофильный техникум,08.02.01 Строительство и эксплуатация зданий и сооружений,21,16,16,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ГАПОУ СО Алапаевский многопрофильный техникум,08.02.07 Монтаж и эксплуатация внутренних сантехнических устройств; кондиционирования воздуха и вентиляции,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ГАПОУ СО Алапаевский многопрофильный техникум,08.02.10 Строительство железных дорог; путь и путевое хозяйство,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ГАПОУ СО Алапаевский многопрофильный техникум,09.02.03 Программирование в компьютерных системах,24,6,6,1,0,0,4,0,1,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
5,ГАПОУ СО Алапаевский многопрофильный техникум,13.02.11 Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),28,16,14,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ГАПОУ СО Алапаевский многопрофильный техникум,15.02.08 Технология машиностроения,14,4,1,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ГАПОУ СО Алапаевский многопрофильный техникум,19.02.10 Технология продукции общественного питания,17,5,2,0,0,0,3,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ГАПОУ СО Алапаевский многопрофильный техникум,23.02.01 Организация перевозок и управление на транспорте (по видам),36,28,21,0,0,0,2,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ГАПОУ СО Алапаевский многопрофильный техникум,23.02.03 Техническое обслуживание и ремонт автомобильного транспорта,26,15,14,0,1,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,ГАПОУ СО Алапаевский многопрофильный техникум,23.02.06 Техническая эксплуатация подвижного состава железных дорог,38,19,16,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,ГАПОУ СО Алапаевский многопрофильный техникум,38.02.04 Коммерция (по отраслям),22,10,5,0,0,0,2,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,ГАПОУ СО Алапаевский многопрофильный техникум,39.02.01 Социальная работа,26,15,7,0,0,1,0,0,1,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
13,ГАПОУ СО Алапаевский многопрофильный техникум,43.02.06 Сервис на транспорте (по видам транспорта),22,14,0,0,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,ГАПОУ СО Алапаевский многопрофильный техникум,44.02.01 Дошкольное образование,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ГАПОУ СО Алапаевский многопрофильный техникум,44.02.06 Профессиональное обучение (по отраслям),11,9,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,ГАПОУ СО Алапаевский многопрофильный техникум,46.02.01 Документационное обеспечение управления и архивоведение,18,11,3,0,0,0,1,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
17,ГАПОУ СО Алапаевский многопрофильный техникум,49.02.01 Физическая культура,10,5,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,ГАПОУ СО Артемовский колледж точного приборостроения,09.02.01 Компьютерные системы и комплексы,18,5,4,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,ГАПОУ СО Артемовский колледж точного приборостроения,19.02.10 Технология продукции общественного питания,13,7,7,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,ГАПОУ СО Артемовский колледж точного приборостроения,23.02.03 Техническое обслуживание и ремонт автомобильного транспорта,28,13,10,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,ГАПОУ СО Артемовский колледж точного приборостроения,13.01.10 Электромонтер по ремонту и обслуживанию электрооборудования (по отраслям),11,5,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
22,ГАПОУ СО Артинский агропромышленный техникум,35.01.11 Мастер сельскохозяйственного производства,15,9,5,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,ГАПОУ СО Артинский агропромышленный техникум,35.01.15 Электромонтер по ремонту и обслуживанию электрооборудования в сельскохозяйственном производстве,20,9,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,ГАПОУ СО Артинский агропромышленный техникум,35.02.07 Механизация сельского хозяйства,14,13,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,ГАПОУ СО Артинский агропромышленный техникум,38.01.02 Продавец; контролер-кассир,14,10,10,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,ГАПОУ СО Асбестовский политехникум,09.02.03 Программирование в компьютерных системах,12,5,3,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,ГАПОУ СО Асбестовский политехникум,13.02.11 Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),45,25,20,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,ГАПОУ СО Асбестовский политехникум,15.01.05 Сварщик (ручной и частично механизированной сварки (наплавки),26,9,8,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,ГАПОУ СО Асбестовский политехникум,20.02.02 Защита в чрезвычайных ситуациях,23,4,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,ГАПОУ СО Асбестовский политехникум,20.02.04 Пожарная безопасность,25,7,4,0,0,1,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,ГАПОУ СО Асбестовский политехникум,21.01.10 Ремонтник горного оборудования,24,6,4,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,ГАПОУ СО Асбестовский политехникум,21.02.18 Обогащение полезных ископаемых,33,21,15,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,ГАПОУ СО Асбестовский политехникум,23.01.08 Слесарь по ремонту строительных машин,23,8,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,ГАПОУ СО Асбестовский политехникум,38.01.02 Продавец; контролер-кассир,23,18,16,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,ГАПОУ СО Асбестовский политехникум,38.02.03 Операционная деятельность в логистике,23,13,8,1,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,ГАПОУ СО Асбестовский политехникум,38.02.04 Коммерция (по отраслям),21,8,7,0,1,3,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,ГАПОУ СО Асбестовский политехникум,43.01.02 Парикмахер,20,13,9,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,ГАПОУ СО Асбестовский политехникум,43.02.01 Организация обслуживания в общественном питании,18,17,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,ГАПОУ СО Баранчинский электромеханический техникум,09.02.04 Информационные системы (по отраслям),16,10,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,ГАПОУ СО Баранчинский электромеханический техникум,15.01.36 Дефектоскопист,23,11,10,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,ГАПОУ СО Баранчинский электромеханический техникум,15.02.08 Технология машиностроения,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,ГАПОУ СО Баранчинский электромеханический техникум,23.01.03 Автомеханик,23,17,12,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,ГАПОУ СО Баранчинский электромеханический техникум,43.01.09 Повар; кондитер,13,6,6,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,ГАПОУ СО Белоярский многопрофильный техникум,08.02.01 Строительство и эксплуатация зданий и сооружений,16,12,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,ГАПОУ СО Белоярский многопрофильный техникум,09.02.04 Информационные системы (по отраслям),7,3,3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,ГАПОУ СО Белоярский многопрофильный техникум,19.02.10 Технология продукции общественного питания,12,7,6,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,ГАПОУ СО Белоярский многопрофильный техникум,23.02.03 Техническое обслуживание и ремонт автомобильного транспорта,9,8,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,ГАПОУ СО Белоярский многопрофильный техникум,34.02.01 Сестринское дело,14,7,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,ГАПОУ СО Белоярский многопрофильный техникум,35.02.07 Механизация сельского хозяйства,8,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,ГАПОУ СО Белоярский многопрофильный техникум,38.02.01 Экономика и бухгалтерский учет (по отраслям),13,4,3,0,0,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,ГАПОУ СО Белоярский многопрофильный техникум,44.02.01 Дошкольное образование,37,33,31,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,ГАПОУ СО Берёзовский техникум Профи,08.01.25 Мастер отделочных строительных и декоративных работ,17,15,14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,ГАПОУ СО Берёзовский техникум Профи,08.01.26 Мастер по ремонту и обслуживанию инженерных систем жилищно-коммунального хозяйства,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,ГАПОУ СО Берёзовский техникум Профи,08.02.01 Строительство и эксплуатация зданий и сооружений,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,ГАПОУ СО Берёзовский техникум Профи,15.01.05 Сварщик (ручной и частично механизированной сварки (наплавки),13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,ГАПОУ СО Берёзовский техникум Профи,22.02.06 Сварочное производство,22,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,ГАПОУ СО Берёзовский техникум Профи,23.01.03 Автомеханик,28,27,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,ГАПОУ СО Берёзовский техникум Профи,38.02.04 Коммерция (по отраслям),7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,ГАПОУ СО Берёзовский техникум Профи,43.01.09 Повар; кондитер,16,9,9,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,ГАПОУ СО Богдановичский политехникум,13.01.10 Электромонтер по ремонту и обслуживанию электрооборудования (по отраслям),19,9,9,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,ГАПОУ СО Богдановичский политехникум,13.02.11 Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),17,6,3,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,ГАПОУ СО Богдановичский политехникум,15.02.12 Монтаж; техническое обслуживание и ремонт промышленного оборудования (по отраслям),24,16,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,ГАПОУ СО Богдановичский политехникум,18.02.05 Производство тугоплавких неметаллических и силикатных материалов и изделий,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,ГАПОУ СО Богдановичский политехникум,38.02.01 Экономика и бухгалтерский учет (по отраслям),17,14,7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,ГАПОУ СО Богдановичский политехникум,43.01.02 Парикмахер,14,10,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,ГАПОУ СО Верхнепышминский механико-технологический техникум Юность,09.02.04 Информационные системы (по отраслям),28,14,14,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,ГАПОУ СО Верхнепышминский механико-технологический техникум Юность,13.02.11 Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),25,18,18,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,ГАПОУ СО Верхнепышминский механико-технологический техникум Юность,15.02.08 Технология машиностроения,22,9,9,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,ГАПОУ СО Верхнепышминский механико-технологический техникум Юность,18.02.01 Аналитический контроль качества химических соединений,19,17,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,ГАПОУ СО Верхнепышминский механико-технологический техникум Юность,19.02.10 Технология продукции общественного питания,21,15,15,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,ГАПОУ СО Верхнепышминский механико-технологический техникум Юность,22.02.06 Сварочное производство,19,12,12,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,ГАПОУ СО Верхнепышминский механико-технологический техникум Юность,23.02.03 Техническое обслуживание и ремонт автомобильного транспорта,44,29,22,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,ГАПОУ СО Верхнепышминский механико-технологический техникум Юность,43.01.02 Парикмахер,22,19,18,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,ГАПОУ СО Верхнесалдинский авиаметаллургический колледж им. А.А. Евстигнеева,09.02.07 Информационные системы и программирование,11,7,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,ГАПОУ СО Верхнесалдинский авиаметаллургический колледж им. А.А. Евстигнеева,13.02.11 Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),29,22,19,0,0,0,0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
76,ГАПОУ СО Верхнесалдинский авиаметаллургический колледж им. А.А. Евстигнеева,15.01.25 Станочник (металлообработка),15,6,4,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,ГАПОУ СО Верхнесалдинский авиаметаллургический колледж им. А.А. Евстигнеева,15.01.32 Оператор станков с программным управлением,29,13,11,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,ГАПОУ СО Верхнесалдинский авиаметаллургический колледж им. А.А. Евстигнеева,15.02.08 Технология машиностроения,32,16,14,0,0,3,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,ГАПОУ СО Верхнесалдинский авиаметаллургический колледж им. А.А. Евстигнеева,15.02.09 Аддитивные технологии,18,17,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,ГАПОУ СО Верхнесалдинский авиаметаллургический колледж им. А.А. Евстигнеева,15.02.12 Монтаж; техническое обслуживание и ремонт промышленного оборудования (по отраслям),26,17,13,0,0,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,ГАПОУ СО Верхнесалдинский авиаметаллургический колледж им. А.А. Евстигнеева,19.01.02 Лаборант-аналитик,26,18,12,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
82,ГАПОУ СО Верхнесалдинский авиаметаллургический колледж им. А.А. Евстигнеева,22.01.05 Аппаратчик-оператор в производстве цветных металлов,23,7,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
83,ГАПОУ СО Верхнесалдинский авиаметаллургический колледж им. А.А. Евстигнеева,22.02.05 Обработка металлов давлением,72,54,49,0,1,2,4,0,5,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
84,ГАПОУ СО Верхнесинячихинский агропромышленный техникум,19.02.10 Технология продукции общественного питания,16,9,6,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,ГАПОУ СО Верхнесинячихинский агропромышленный техникум,23.02.03 Техническое обслуживание и ремонт автомобильного транспорта,35,32,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,ГАПОУ СО Верхнесинячихинский агропромышленный техникум,35.02.07 Механизация сельского хозяйства,11,5,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,ГАПОУ СО Верхнесинячихинский агропромышленный техникум,49.02.01 Физическая культура,27,16,7,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,ГАПОУ СО Верхнетуринский механический техникум,08.02.09 Монтаж; наладка и эксплуатация электрооборудования промышленных и гражданских зданий,13,5,4,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,ГАПОУ СО Верхнетуринский механический техникум,15.02.01 Монтаж и техническая эксплуатация промышленного оборудования (по отраслям),14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,ГАПОУ СО Верхнетуринский механический техникум,38.02.03 Операционная деятельность в логистике,24,20,15,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,ГАПОУ СО Верхнетуринский механический техникум,23.02.03 Техническое обслуживание и ремонт автомобильного транспорта,14,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,ГАПОУ СО Верхнетуринский механический техникум,43.02.10 Туризм,21,12,10,0,0,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,ГАПОУ СО Верхнетуринский механический техникум,23.01.03 Автомеханик,18,13,9,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,ГАПОУ СО Высокогорский многопрофильный техникум,08.01.25 Мастер отделочных строительных и декоративных работ,18,7,7,0,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,ГАПОУ СО Высокогорский многопрофильный техникум,13.01.10 Электромонтер по ремонту и обслуживанию электрооборудования (по отраслям),14,7,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,ГАПОУ СО Высокогорский многопрофильный техникум,13.02.11 Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,ГАПОУ СО Высокогорский многопрофильный техникум,15.01.05 Сварщик (ручной и частично механизированной сварки (наплавки),17,8,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,ГАПОУ СО Высокогорский многопрофильный техникум,23.01.17 Мастер по ремонту и обслуживанию автомобилей,19,8,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,ГАПОУ СО Высокогорский многопрофильный техникум,23.02.01 Организация перевозок и управление на транспорте (по видам),21,17,17,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,ГАПОУ СО Высокогорский многопрофильный техникум,35.01.13 Тракторист-машинист сельскохозяйственного производства,21,9,9,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,ГАПОУ СО Высокогорский многопрофильный техникум,35.02.07 Механизация сельского хозяйства,30,19,19,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,ГАПОУ СО Высокогорский многопрофильный техникум,43.01.09 Повар; кондитер,17,10,10,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,ГАПОУ СО Высокогорский многопрофильный техникум,46.01.01 Секретарь,17,15,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,ГАПОУ СО Екатеринбургский автомобильно-дорожный колледж,08.02.05 Строительство и эксплуатация автомобильных дорог и аэродромов,45,11,7,0,1,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,ГАПОУ СО Екатеринбургский автомобильно-дорожный колледж,23.01.17 Мастер по ремонту и обслуживанию автомобилей,22,18,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,ГАПОУ СО Екатеринбургский автомобильно-дорожный колледж,23.02.01 Организация перевозок и управление на транспорте (по видам),42,23,20,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,ГАПОУ СО Екатеринбургский автомобильно-дорожный колледж,23.02.03 Техническое обслуживание и ремонт автомобильного транспорта,48,9,7,0,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,ГАПОУ СО Екатеринбургский автомобильно-дорожный колледж,23.02.04 Техническая эксплуатация подъемно-транспортных; строительных; дорожных машин и оборудования (по отраслям),36,15,10,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,ГАПОУ СО Екатеринбургский автомобильно-дорожный колледж,08.02.05 Строительство и эксплуатация автомобильных дорог и аэродромов,21,20,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,ГАПОУ СО Екатеринбургский автомобильно-дорожный колледж,23.02.01 Организация перевозок и управление на транспорте (по видам),16,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,ГАПОУ СО Екатеринбургский автомобильно-дорожный колледж,23.02.03 Техническое обслуживание и ремонт автомобильного транспорта,16,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,ГАПОУ СО Екатеринбургский автомобильно-дорожный колледж,23.02.04 Техническая эксплуатация подъемно-транспортных; строительных; дорожных машин и оборудования (по отраслям),21,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,ГАПОУ СО Екатеринбургский колледж транспортного строительства,08.02.01 Строительство и эксплуатация зданий и сооружений,45,12,10,0,3,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,ГАПОУ СО Екатеринбургский колледж транспортного строительства,08.02.03 Производство неметаллических строительных изделий и конструкций,5,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,ГАПОУ СО Екатеринбургский колледж транспортного строительства,08.02.06 Строительство и эксплуатация городских путей сообщения,13,6,5,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,ГАПОУ СО Екатеринбургский колледж транспортного строительства,08.02.10 Строительство железных дорог; путь и путевое хозяйство,21,8,8,0,0,2,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,ГАПОУ СО Екатеринбургский колледж транспортного строительства,09.02.03 Программирование в компьютерных системах,11,4,4,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,ГАПОУ СО Екатеринбургский колледж транспортного строительства,20.02.01 Рациональное использование природохозяйственных комплексов,15,10,8,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,ГАПОУ СО Екатеринбургский колледж транспортного строительства,23.02.03 Техническое обслуживание и ремонт автомобильного транспорта,13,4,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,ГАПОУ СО Екатеринбургский колледж транспортного строительства,27.02.03 Автоматика и телемеханика на транспорте (железнодорожном транспорте),13,2,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,ГАПОУ СО Екатеринбургский колледж транспортного строительства,38.02.07 Банковское дело,22,13,11,0,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,ГАПОУ СО Екатеринбургский колледж транспортного строительства,43.02.11 Гостиничный сервис,12,8,7,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,ГАПОУ СО Екатеринбургский колледж транспортного строительства,54.02.01 Дизайн (по отраслям),33,21,14,0,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,ГАПОУ СО Екатеринбургский монтажный колледж,08.02.01 Строительство и эксплуатация зданий и сооружений,63,41,41,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,ГАПОУ СО Екатеринбургский монтажный колледж,08.02.07 Монтаж и эксплуатация внутренних сантехнических устройств; кондиционирования воздуха и вентиляции,20,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,ГАПОУ СО Екатеринбургский монтажный колледж,08.02.08 Монтаж и эксплуатация оборудования и систем газоснабжения,30,20,19,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,ГАПОУ СО Екатеринбургский монтажный колледж,08.02.09 Монтаж; наладка и эксплуатация электрооборудования промышленных и гражданских зданий,25,12,12,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,ГАПОУ СО Екатеринбургский монтажный колледж,08.02.11 Управление; эксплуатация и обслуживание многоквартирного дома,26,20,19,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,ГАПОУ СО Екатеринбургский монтажный колледж,09.02.04 Информационные системы (по отраслям),24,14,14,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,ГАПОУ СО Екатеринбургский монтажный колледж,09.02.07 Информационные системы и программирование,12,9,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,ГАПОУ СО Екатеринбургский монтажный колледж,15.02.12 Монтаж; техническое обслуживание и ремонт промышленного оборудования (по отраслям),16,6,6,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,ГАПОУ СО Екатеринбургский монтажный колледж,15.02.14 Оснащение средствами автоматизации технологических процессов и производств (по отраслям),19,10,9,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
