Идентификатор;Место в России;Место в субъекте;Сумма баллов(общая);Наименование ОО;Сумма баллов (ОБРАЗОВАТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ);Место в блоке (ОБРАЗОВАТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ);Сумма баллов (МЕЖДУНАРОДНАЯ ДЕЯТЕЛЬНОСТЬ);Место в блоке (МЕЖДУНАРОДНАЯ ДЕЯТЕЛЬНОСТЬ);Сумма баллов (УРОВЕНЬ ПОДГОТОВКИ ВЫПУСКНИКОВ ОБРАЗОВАТЕЛЬНЫХ ПРОГРАММ СПО);Место в блоке (УРОВЕНЬ ПОДГОТОВКИ ВЫПУСКНИКОВ ОБРАЗОВАТЕЛЬНЫХ ПРОГРАММ СПО);Сумма баллов (ИНФРАСТРУКТУРА);Место в блоке (ИНФРАСТРУКТУРА);Сумма баллов (ФИНАНСОВО-ЭКОНОМИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ);Место в блоке (ФИНАНСОВО-ЭКОНОМИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ);Сумма баллов (КАДРОВЫЙ СОСТАВ);Место в блоке (КАДРОВЫЙ СОСТАВ);Сумма баллов (РЕАЛИЗАЦИЯ ПРОГРАММ ДПО);Место в блоке (РЕАЛИЗАЦИЯ ПРОГРАММ ДПО);Сумма баллов (СОЦИАЛЬНАЯ ОТВЕТСТВЕННОСТЬ);Место в блоке (СОЦИАЛЬНАЯ ОТВЕТСТВЕННОСТЬ);1.4.1 и 1.4.2;1.5.1 и 1.5.2;1.8;1.10;2.2;3.3.1 и 3.3.2;4.3;4.6;5.1;5.2;6.2;6.3;7.1;8.2;8.4;8.5;8.10
65;1927;64;23;"Государственное автономное профессиональное образовательное учреждение ""Слободотуринский аграрно-экономический техникум""";3;100;0;74;0;43;3;72;3;84;5;3;1;64;8;31; 11,26; 3,49; 8,80; 0,00; 0,00; 0,00; 23,89; 17,09; 102,39; 0,95; 1,81; 100,00; 60,00; 32,66; 100,00; 12,80; 0,00
66;1927;64;23;"Государственное автономное профессиональное образовательное учреждения Свердловской области ""Екатеринбургский техникум ""Автоматика""";6;53;3;15;3;14;4;49;6;18;0;27;0;76;1;114; 23,26; 3,75; 18,90; 0,00; 1,00; 83,33; 9,30; 70,11; 125,40; 63,15; 0,00; 0,00; 0,00; 23,43; 0,00; 0,00; 0,00
67;1927;64;23;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Нижнетагильский горно-металлургический колледж имени Е.А. и М.Е. Черепановых""";7;41;1;45;0;43;5;27;3;84;0;27;3;1;4;92; 11,46; 3,85; 36,34; 0,00; 0,27; 0,00; 21,93; 50,85; 101,82; 49,05; 0,00; 0,00; 100,00; 40,89; 18,54; 1,23; 0,00
68;1927;64;23;"Государственное бюджетное профессиональное учреждение Свердловской области ""Красноуфимский аграрный колледж""";4;86;1;45;1;32;5;27;3;84;0;27;1;64;8;31; 0,00; 3,71; 30,86; 0,00; 0,28; 50,00; 20,85; 22,06; 101,39; 14,18; 0,00; 0,00; 70,00; 38,60; 100,00; 10,23; 0,00
69;2086;69;22;"Государственное автономное профессиональное образовательное учреждение ""Краснотурьинский индустриальный колледж""";4;86;1;45;0;43;3;72;4;55;0;27;3;1;7;46; 0,00; 3,75; 30,28; 0,00; 0,33; 0,00; 25,36; 9,86; 96,98; 206,48; 0,00; 0,00; 100,00; 46,42; 100,00; 1,10; 0,00
70;2086;69;22;"Государственное бюджетное профессиональное образовательное учреждение учреждение свердловской области ""уральский техникум ""Рифей""";5;64;0;74;3;14;5;27;7;9;0;27;0;76;2;106; 0,00; 3,83; 26,78; 0,00; 0,00; 80,00; 54,49; 18,16; 113,37; 655,82; 0,00; 0,00; 0,00; 34,57; 79,26; 0,00; 0,00
71;2086;69;22;Государственное автономное профессиональное образовательное учреждение Свердловской области «Верхнесалдинский авиаметаллургический техникум»;4;86;1;45;1;32;4;49;4;55;2;15;3;1;3;101; 22,06; 3,58; 13,35; 0,00; 0,20; 50,00; 4,96; 46,94; 155,01; 0,00; 0,00; 5,71; 100,00; 38,76; 0,00; 3,93; 0,00
72;2086;69;22;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Уральский техникум автомобильного транспорта и сервиса""";1;124;3;15;0;43;4;49;3;84;1;22;2;49;8;31; 0,00; 3,55; 0,00; 0,00; 1,06; 0,00; 9,35; 24,34; 101,69; 36,57; 2,00; 0,00; 92,38; 28,27; 100,00; 7,62; 0,00
73;2086;69;22;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Сергинский многопрофильный техникум""";3;100;1;45;0;43;6;14;2;111;3;9;0;76;7;46; 4,13; 3,54; 17,97; 0,00; 0,26; 0,00; 47,79; 56,35; 97,38; 10,19; 0,00; 11,43; 0,00; 27,24; 100,00; 3,57; 0,00
74;2086;69;22;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Новоуральский технологический колледж""";5;64;0;74;0;43;5;27;2;111;0;27;3;1;7;46; 31,75; 3,56; 11,24; 0,00; 0,00; 0,00; 23,11; 28,14; 102,42; 0,00; 0,00; 0,00; 100,00; 41,53; 100,00; 0,80; 0,00
75;2236;75;21;"Качканарский филиал государственного автономного профессионального образовательного учреждения Свердловской области ""Уральский радиотехнический колледж им. А.С. Попова""";5;64;0;74;0;43;5;27;4;55;0;27;0;76;7;46; 0,00; 3,65; 36,00; 0,00; 0,00; 0,00; 86,25; 10,16; 77,30; 208,38; 0,00; 0,00; 0,00; 63,01; 0,00; 8,33; 0,00
76;2236;75;21;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Первоуральский политехникум""";4;86;1;45;4;1;4;49;2;111;0;27;0;76;6;58; 16,17; 3,43; 7,60; 0,00; 0,03; 100,00; 36,26; 10,61; 100,43; 0,00; 0,00; 0,00; 0,00; 37,21; 100,00; 0,00; 15,41
77;2236;75;21;Нижнетагильский строительный техникум;4;86;1;45;0;43;4;49;4;55;0;27;3;1;5;74; 0,00; 3,88; 8,80; 0,00; 0,07; 0,00; 32,25; 12,58; 103,51; 68,46; 0,00; 0,00; 100,00; 26,22; 100,00; 0,00; 0,00
78;2236;75;21;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Богдановичский политехникум""";4;86;3;15;0;43;4;49;3;84;0;27;0;76;7;46; 21,38; 3,44; 7,19; 0,00; 0,91; 0,00; 35,28; 18,46; 100,01; 6,92; 0,00; 0,00; 0,00; 28,66; 100,00; 3,65; 0,00
79;2236;75;21;Автономная некоммерческая организация среднего профессионального образования Уральский экономический колледж;5;64;3;15;0;43;2;100;5;33;0;27;0;76;6;58; 0,00; 3,76; 35,74; 0,00; 1,18; 0,00; 1,55; 2,32; 70,58; 2189,41; 0,00; 0,00; 0,00; 0,00; 0,00; 25,07; 23,00
80;2236;75;21;"Асбестовско-Сухоложский филиал государственного бюджетного профессионального образовательного учреждения ""Свердловский областной медицинский колледж""";6;53;3;15;0;43;2;100;5;33;0;27;1;64;4;92; 100,00; 3,80; 40,69; 0,00; 0,86; 0,00; 13,37; 1,28; 137,21; 107,41; 0,00; 0,00; 95,60; 54,45; 68,75; 5,62; 0,00
81;2236;75;21;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Краснотурьинский политехникум""";5;64;0;74;0;43;6;14;2;111;0;27;2;49;6;58; 33,98; 3,44; 6,29; 0,00; 0,00; 0,00; 44,43; 21,13; 96,11; 20,82; 0,00; 0,00; 95,56; 34,68; 100,00; 1,10; 0,00
82;2365;82;20;Государственное автономное профессиональное образовательное учреждение Свердловской области «Ирбитский политехникум»;3;100;0;74;0;43;3;72;3;84;2;15;3;1;6;58; 4,44; 3,50; 6,80; 0,00; 0,00; 0,00; 18,83; 18,83; 99,37; 47,84; 0,00; 8,85; 100,00; 29,20; 100,00; 1,90; 0,00
83;2365;82;20;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Режевской политехникум""";6;53;0;74;0;43;1;113;4;55;0;27;3;1;6;58; 18,53; 3,67; 22,55; 0,00; 0,00; 0,00; 0,00; 14,59; 116,23; 0,00; 0,00; 0,00; 100,00; 36,47; 100,00; 2,71; 0,00
84;2365;82;20;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Верхнетуринский механический техникум»;4;86;0;74;4;1;6;14;5;33;0;27;0;76;1;114; 16,28; 3,55; 13,33; 0,00; 0,00; 100,00; 30,93; 19,84; 105,21; 122,05; 0,00; 0,00; 0,00; 32,67; 0,00; 0,00; 0,00
85;2514;85;19;Уральский колледж прикладного искусства и дизайна;6;53;3;15;0;43;1;113;3;84;0;27;0;76;6;58; 100,00; 3,99; 52,05; 0,00; 0,81; 0,00; 16,71; 0,00; 73,11; 87,76; 0,00; 0,00; 0,00; 48,50; 100,00; 2,74; 0,00
86;2514;85;19;"Полевской филиал государственного автономного профессионального образовательного учреждения Свердловской области ""Уральский радиотехнический колледж им. А.С. Попова""";5;64;0;74;0;43;1;113;6;18;0;27;3;1;4;92; 0,00; 3,78; 23,81; 0,00; 0,00; 0,00; 0,00; 12,89; 114,27; 346,17; 0,00; 0,00; 100,00; 84,81; 0,00; 0,00; 0,00
87;2514;85;19;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Серовский техникум сферы обслуживания и питания""";3;100;1;45;0;43;5;27;5;33;0;27;0;76;5;74; 9,94; 3,45; 0,62; 0,00; 0,02; 0,00; 73,22; 4,70; 125,11; 12,96; 0,00; 0,00; 0,00; 56,72; 87,50; 1,09; 0,00
88;2514;85;19;"Государственное автономное профессиональное образовательное учреждение Свердловской области "" Ирбитский мотоциклетный техникум""";5;64;1;45;0;43;4;49;4;55;0;27;3;1;2;106; 0,00; 3,78; 27,72; 0,00; 0,26; 0,00; 33,39; 12,85; 106,86; 13,52; 0,00; 0,00; 100,00; 33,86; 0,00; 1,41; 0,00
89;2514;85;19;"Новоуральский филиал Государственного бюджетного профессионального образовательного учреждения "" Свердловский областной медицинский колледж""";6;53;0;74;0;43;2;100;6;18;0;27;0;76;5;74; 100,00; 3,81; 31,82; 0,00; 0,00; 0,00; 11,30; 6,85; 129,98; 241,55; 0,00; 0,00; 0,00; 89,07; 0,00; 1,31; 0,00
90;2514;85;19;"Ачитский филиал ГБПОУ СО ""Красноуфимский аграрный колледж""";3;100;0;74;0;43;7;1;2;111;0;27;0;76;7;46; 68,42; 3,36; 0,00; 0,00; 0,00; 0,00; 51,56; 71,55; 92,73; 0,00; 0,00; 0,00; 0,00; 50,22; 100,00; 0,00; 0,00
91;2514;85;19;Государственное автономное профессиональное образовательное учреждение Свердловской области «Артемовский колледж точного приборостроения»;3;100;0;74;0;43;6;14;2;111;0;27;3;1;5;74; 15,07; 3,42; 9,33; 0,00; 0,00; 0,00; 31,94; 40,15; 90,62; 19,89; 0,00; 0,00; 100,00; 16,33; 100,00; 0,00; 0,00
92;2652;92;18;"Красноуфимский филиал государственного автономного профессионального образовательного учреждения Свердловской Области ""Уральский железнодорожный техникум""";6;53;0;74;0;43;5;27;1;127;0;27;0;76;6;58; 80,00; 3,76; 32,00; 0,00; 0,00; 0,00; 50,80; 3,45; 100,59; 0,00; 0,00; 0,00; 0,00; 26,77; 80,91; 31,00; 0,00
93;2652;92;18;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Карпинский машиностроительный техникум""";5;64;0;74;0;43;5;27;4;55;0;27;3;1;1;114; 31,05; 3,42; 14,00; 0,00; 0,00; 0,00; 65,27; 14,92; 120,54; 0,00; 0,00; 0,00; 100,00; 34,77; 0,00; 0,00; 0,00
94;2652;92;18;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Исовский геологоразведочный техникум""";4;86;0;74;2;20;3;72;4;55;0;27;0;76;5;74; 0,00; 3,77; 28,77; 0,00; 0,00; 66,67; 19,64; 8,61; 98,15; 106,35; 0,00; 0,00; 0,00; 22,24; 100,00; 0,00; 0,00
95;2652;92;18;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Североуральский политехникум""";3;100;0;74;0;43;3;72;3;84;0;27;0;76;9;19; 2,81; 3,58; 9,90; 0,00; 0,00; 0,00; 0,00; 21,05; 103,72; 36,10; 0,00; 0,00; 0,00; 24,44; 100,00; 93,50; 0,00
96;2652;92;18;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Артинский агропромышленный техникум""";3;100;0;74;4;1;7;1;2;111;0;27;0;76;2;106; 25,08; 3,50; 0,00; 0,00; 0,00; 100,00; 51,41; 33,98; 98,90; 0,00; 0,00; 0,00; 0,00; 36,74; 0,00; 1,10; 0,00
97;2791;97;17;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Свердловский областной музыкально-эстетический педагогический колледж""";7;41;0;74;0;43;3;72;3;84;0;27;0;76;4;92; 88,40; 3,95; 69,71; 0,00; 0,00; 0,00; 48,90; 0,00; 96,07; 88,99; 0,00; 0,00; 0,00; 0,00; 100,00; 0,00; 0,00
98;2791;97;17;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Серовский металлургический техникум""";6;53;1;45;0;43;2;100;3;84;0;27;0;76;5;74; 0,00; 3,61; 19,50; 0,89; 0,14; 0,00; 7,87; 1,45; 76,57; 133,41; 0,00; 0,00; 0,00; 36,91; 100,00; 0,00; 0,00
99;2791;97;17;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Ревдинский многопрофильный техникум""";5;64;1;45;0;43;2;100;3;84;0;27;0;76;6;58; 32,78; 3,54; 11,66; 0,00; 0,26; 0,00; 13,14; 16,60; 110,99; 0,00; 0,00; 0,00; 0,00; 36,31; 100,00; 2,69; 0,00
100;2791;97;17;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Камышловский гуманитарно-технологический техникум""";6;53;0;74;0;43;2;100;4;55;0;27;0;76;5;74; 15,73; 3,73; 25,95; 0,00; 0,00; 0,00; 0,92; 8,70; 101,02; 76,34; 0,00; 0,00; 0,00; 29,92; 100,00; 0,00; 0,00
101;2900;101;16;"Филиал ГАПОУ СО ""НТГПК им. Н.А. Демидова"" в городе Артемовский";5;64;2;31;0;43;4;49;3;84;0;27;0;76;2;106; 0,00; 3,77; 35,71; 0,00; 0,45; 0,00; 42,79; 3,61; 96,59; 96,30; 0,00; 0,00; 0,00; 34,59; 0,00; 1,01; 0,00
102;2900;101;16;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Алапаевский профессионально-педагогический колледж""";5;64;2;31;0;43;1;113;5;33;0;27;0;76;3;101; 13,85; 3,77; 33,33; 0,00; 0,54; 0,00; 0,00; 2,59; 109,66; 169,43; 0,00; 0,00; 0,00; 51,30; 0,00; 0,00; 0,00
103;2900;101;16;Серовский политехнический техникум;4;86;0;74;0;43;3;72;1;127;0;27;2;49;6;58; 20,55; 3,50; 5,88; 0,00; 0,00; 0,00; 25,54; 9,69; 97,50; 0,00; 0,00; 0,00; 98,57; 33,06; 100,00; 0,49; 0,00
104;2900;101;16;"Филиал ГАПОУ СО ""Нижнетагильский горно-металлургический колледж имени Е.А. и М.Е. Черепановых""";3;100;3;15;0;43;5;27;1;127;0;27;0;76;4;92; 15,69; 3,40; 0,00; 0,00; 0,79; 0,00; 17,52; 46,81; 80,51; 0,00; 0,00; 0,00; 0,00; 88,87; 0,00; 0,00; 0,00
105;2900;101;16;Государственное автономное профессиональное образовательное учреждение Свердловской области «Верхнесинячихинский агропромышленный техникум»;1;124;0;74;4;1;4;49;2;111;0;27;0;76;5;74; 0,00; 3,43; 0,00; 0,00; 0,00; 100,00; 13,11; 26,27; 102,60; 0,00; 0,00; 0,00; 0,00; 19,85; 100,00; 0,00; 0,00
106;3015;106;15;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Тавдинский техникум им. А.А.Елохина""";6;53;0;74;0;43;4;49;4;55;0;27;0;76;1;114; 62,94; 3,48; 5,47; 0,00; 0,00; 0,00; 41,35; 14,23; 116,79; 0,00; 0,00; 0,00; 0,00; 34,59; 0,00; 0,00; 0,00
107;3015;106;15;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Красноуральский многопрофильный техникум""";1;124;4;1;1;32;3;72;5;33;0;27;0;76;1;114; 0,00; 3,36; 0,00; 0,00; 1,66; 50,00; 25,94; 9,50; 109,57; 79,95; 0,00; 0,00; 0,00; 27,62; 0,00; 0,00; 0,00
108;3015;106;15;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Нижнетагильский железнодорожный техникум»;3;100;1;45;0;43;1;113;3;84;0;27;0;76;7;46; 66,80; 3,56; 3,55; 0,00; 0,20; 0,00; 0,00; 5,45; 100,87; 136,35; 0,00; 0,00; 0,00; 40,43; 100,00; 3,00; 0,00
109;3015;106;15;Государственное автономное профессиональное образовательное учреждение Свердловской области «Полипрофильный техникум им. О. В. Терёшкина»;3;100;0;74;0;43;3;72;3;84;4;5;0;76;2;106; 10,70; 3,54; 0,89; 0,00; 0,00; 0,00; 0,00; 60,04; 103,43; 2,50; 15,38; 0,00; 0,00; 23,11; 0,00; 2,29; 0,00
110;3099;110;14;"Кировградский филиал ГБПОУ СО ""Уральский государственный колледж имени И.И.Ползунова""";4;86;0;74;0;43;3;72;4;55;0;27;0;76;3;101; 0,00; 3,73; 21,15; 0,00; 0,00; 0,00; 16,53; 4,62; 95,90; 303,07; 0,00; 0,00; 0,00; 24,25; 0,00; 5,38; 0,00
111;3099;110;14;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Сухоложский многопрофильный техникум""";4;86;0;74;0;43;1;113;4;55;0;27;0;76;5;74; 22,28; 3,52; 7,62; 0,00; 0,00; 0,00; 0,00; 12,19; 112,99; 24,88; 0,00; 0,00; 0,00; 28,56; 100,00; 0,00; 0,00
112;3099;110;14;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Свердловский мужской хоровой колледж»;9;22;0;74;0;43;1;113;3;84;0;27;0;76;1;114; 100,00; 4,34; 55,56; 0,00; 0,00; 0,00; 0,00; 49,04; 101,46; 4,98; 0,00; 0,00; 0,00; 35,29; 0,00; 0,00; 0,00
113;3099;110;14;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Социально-профессиональный техникум «Строитель»;2;115;0;74;0;43;3;72;3;84;0;27;0;76;6;58; 0,00; 3,36; 11,81; 0,00; 0,00; 0,00; 0,00; 54,33; 105,06; 0,00; 0,00; 0,00; 0,00; 46,17; 100,00; 0,00; 0,00
114;3164;114;13;"Сухоложский филиал государственного автономного профессионального образовательного учреждения Свердловской области ""Екатеринбургский экономико-технологический колледж""";5;64;0;74;0;43;0;129;8;1;0;27;0;76;0;127; 0,00; 3,81; 0,00; 0,59; 0,00; 0,00; 0,00; 0,00; 116,21; 885,82; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00
115;3164;114;13;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Красноуфимский многопрофильный техникум""";4;86;0;74;0;43;3;72;1;127;0;27;0;76;5;74; 17,12; 3,51; 16,81; 0,00; 0,00; 0,00; 0,00; 24,32; 96,16; 0,00; 0,00; 0,00; 0,00; 32,08; 0,00; 100,00; 0,00
116;3164;114;13;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Каменск-Уральский техникум металлургии и машиностроения""";2;115;0;74;0;43;5;27;4;55;0;27;0;76;2;106; 0,00; 3,38; 6,00; 0,00; 0,00; 0,00; 20,86; 43,09; 109,75; 41,43; 0,00; 0,00; 0,00; 48,91; 0,00; 0,00; 0,00
117;3214;117;12;Тугулымский филиал Государственное автономное профессиональное образовательное учреждение Свердловской области «Талицкий лесотехнический колледж им. Н.И. Кузнецова»;2;115;0;74;0;43;2;100;2;111;0;27;1;64;5;74; 0,00; 3,72; 0,00; 0,00; 0,00; 0,00; 9,20; 8,35; 100,36; 0,00; 0,00; 0,00; 28,57; 68,71; 87,88; 0,00; 0,00
118;3214;117;12;"Ревдинский филиал ГБПОУ СО ""Уральский государственный колледж имени И.И.Ползунова""";2;115;0;74;0;43;3;72;4;55;0;27;0;76;3;101; 0,00; 3,45; 1,56; 0,00; 0,00; 0,00; 27,55; 2,19; 96,72; 339,52; 0,00; 0,00; 0,00; 19,33; 0,00; 3,95; 0,00
119;3214;117;12;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Алапаевский многопрофильный техникум""";2;115;0;74;0;43;3;72;1;127;1;22;0;76;5;74; 0,00; 3,22; 6,00; 0,00; 0,00; 0,00; 22,82; 9,74; 79,98; 0,00; 0,00; 3,03; 0,00; 28,58; 100,00; 0,00; 0,00
120;3214;117;12;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Уральский горнозаводской колледж имени Демидовых""";2;115;0;74;0;43;6;14;3;84;0;27;0;76;1;114; 9,38; 3,45; 0,00; 0,00; 0,00; 0,00; 38,68; 60,64; 79,93; 125,45; 0,00; 0,00; 0,00; 26,88; 0,00; 0,00; 0,00
121;3214;117;12;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Баранчинский электромеханический техникум""";5;64;0;74;0;43;3;72;3;84;0;27;0;76;1;114; 33,92; 3,57; 10,17; 0,00; 0,00; 0,00; 0,00; 33,32; 100,53; 32,15; 0,00; 0,00; 0,00; 37,37; 0,00; 0,00; 0,00
122;3275;122;11;"Филиал ГБПОУ СО ""Верхнетуринский механический техникум""";3;100;0;74;0;43;3;72;1;127;0;27;3;1;1;114; 17,36; 3,59; 0,00; 0,00; 0,00; 0,00; 23,75; 14,60; 89,45; 0,00; 0,00; 0,00; 100,00; 34,48; 0,00; 0,00; 0,00
123;3275;122;11;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Высокогорский многопрофильный техникум""";5;64;1;45;0;43;1;113;3;84;0;27;0;76;1;114; 43,64; 3,26; 0,00; 0,00; 0,33; 0,00; 0,00; 6,70; 101,32; 20,45; 0,00; 0,00; 0,00; 29,12; 0,00; 0,00; 0,00
124;3275;122;11;Филиал Камышловского гуманитарно-технологического техникума;2;115;2;31;0;43;4;49;1;127;0;27;0;76;2;106; 0,00; 3,36; 2,00; 0,00; 0,68; 0,00; 3,31; 19,96; 81,42; 0,00; 0,00; 0,00; 0,00; 42,17; 0,00; 0,00; 0,00
125;3308;125;10;Высокогорский многопрофильный техникум филиал с. Петрокаменское;5;64;0;74;0;43;1;113;1;127;0;27;0;76;3;101; 50,00; 3,15; 0,00; 0,00; 0,00; 0,00; 0,00; 19,26; 87,68; 0,00; 0,00; 0,00; 0,00; 62,30; 0,00; 0,00; 0,00
126;3308;125;10;"Негосударственное частное учреждение Профессиональная образовательная организация ""Уральский институт подготовки кадров ""21-й век""";0;133;0;74;0;43;3;72;4;55;0;27;3;1;0;127; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 51,68; 15,30; 513,10; 0,00; 0,00; 100,00; 0,00; 0,00; 0,00; 0,00
127;3332;127;9;Высокогорский многопрофильный техникум филиал с. Лая;1;124;0;74;4;1;1;113;2;111;0;27;0;76;1;114; 0,00; 3,30; 0,00; 0,00; 0,00; 100,00; 0,00; 12,28; 100,07; 0,00; 0,00; 0,00; 0,00; 30,60; 0,00; 0,00; 0,00
128;3332;127;9;"Частное профессиональное образовательное учреждение ""Нижнетагильский экономический колледж""";0;133;3;15;0;43;1;113;4;55;0;27;0;76;1;114; 0,00; 0,00; 0,00; 0,00; 1,35; 0,00; 0,00; 2,42; 0,00; 4300,00; 0,00; 0,00; 0,00; 0,00; 0,00; 1,69; 0,00
129;3361;129;8;"Автономная некоммерческая профессиональная образовательная организация""Уральский промышленно-экономический техникум""";2;115;0;74;0;43;1;113;5;33;0;27;0;76;0;127; 0,00; 3,64; 0,00; 0,00; 0,00; 0,00; 0,00; 11,99; 27,09; 690,80; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00
130;3407;130;5;"Филиал ""Уральского промышленно-экономический техникума"" в г.Екатеринбург";1;124;0;74;0;43;0;129;4;55;0;27;0;76;0;127; 0,00; 3,55; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 4038,52; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00
131;3407;130;5;"Сухоложский филиал автономной некоммерческой профессиональной образовательной организации ""Уральский промышленно-экономический техникум""";1;124;0;74;0;43;0;129;4;55;0;27;0;76;0;127; 0,00; 3,60; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 871,52; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00
132;3407;130;5;"Ивдельский филиал автономной некоммерческой профессиональной образовательной организации ""Уральский промышленно-экономический техникум""";1;124;0;74;0;43;0;129;4;55;0;27;0;76;0;127; 0,00; 3,60; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 818,51; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00
133;3407;130;5;"Алапаевский филиал автономной некоммерческой профессиональной образовательной организации ""Уральский промышленно-экономический техникум""";1;124;0;74;0;43;0;129;4;55;0;27;0;76;0;127; 0,00; 3,56; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 1042,23; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00
134;3407;130;5;Частное профессиональное образовательное учреждение Социально-технологический техникум;0;133;0;74;0;43;0;129;5;33;0;27;0;76;0;127; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 72,59; 1173,91; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00
135;3420;135;4;"Полевской филиал ""Уральского промышленно-экономический техникума""";1;124;0;74;0;43;0;129;3;84;0;27;0;76;0;127; 0,00; 3,52; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 372,20; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00
136;3434;136;3;"Качканарский филиал автономной некоммерческой профессиональной образовательной организации ""Уральский промышленно-экономический техникум""";0;133;0;74;0;43;0;129;3;84;0;27;0;76;0;127; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 402,62; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00
137;3438;137;2;"Бисертский филиал государственного бюджетного профессионального образовательного учреждения Свердловской области ""Уральский горнозаводской колледж имени Демидовых""";0;133;0;74;0;43;0;129;2;111;0;27;0;76;0;127; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 59,73; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00
