Идентификатор;Место в России;Место в субъекте;Сумма баллов(общая);Наименование ОО;Сумма баллов (ОБРАЗОВАТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ);Место в блоке (ОБРАЗОВАТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ);Сумма баллов (МЕЖДУНАРОДНАЯ ДЕЯТЕЛЬНОСТЬ);Место в блоке (МЕЖДУНАРОДНАЯ ДЕЯТЕЛЬНОСТЬ);Сумма баллов (УРОВЕНЬ ПОДГОТОВКИ ВЫПУСКНИКОВ ОБРАЗОВАТЕЛЬНЫХ ПРОГРАММ СПО);Место в блоке (УРОВЕНЬ ПОДГОТОВКИ ВЫПУСКНИКОВ ОБРАЗОВАТЕЛЬНЫХ ПРОГРАММ СПО);Сумма баллов (ИНФРАСТРУКТУРА);Место в блоке (ИНФРАСТРУКТУРА);Сумма баллов (ФИНАНСОВО-ЭКОНОМИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ);Место в блоке (ФИНАНСОВО-ЭКОНОМИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ);Сумма баллов (КАДРОВЫЙ СОСТАВ);Место в блоке (КАДРОВЫЙ СОСТАВ);Сумма баллов (РЕАЛИЗАЦИЯ ПРОГРАММ ДПО);Место в блоке (РЕАЛИЗАЦИЯ ПРОГРАММ ДПО);Сумма баллов (СОЦИАЛЬНАЯ ОТВЕТСТВЕННОСТЬ);Место в блоке (СОЦИАЛЬНАЯ ОТВЕТСТВЕННОСТЬ);1.4.1 и 1.4.2;1.5.1 и 1.5.2;1.8;1.10;2.2;3.3.1 и 3.3.2;4.3;4.6;5.1;5.2;6.2;6.3;7.1;8.2;8.4;8.5;8.10
23;546;22;34;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Верхнепышминский механико-технологический техникум «Юность»;7;41;0;74;0;43;6;14;7;9;0;27;3;1;11;6; 0,00; 3,74; 25,93; 6,43; 0,00; 0,00; 42,10; 142,49; 138,79; 214,90; 0,00; 0,00; 100,00; 49,98; 100,00; 0,00; 354,79
24;642;24;33;"Государственное бюджетное образовательное учреждение среднего профессионального образования колледж Свердловской области ""Свердловское художественное училище им. И.Д. Шадра""";12;3;1;45;0;43;7;1;8;1;0;27;0;76;5;74; 100,00; 4,50; 96,30; 0,00; 0,36; 0,00; 54,48; 52,51; 126,59; 545,29; 0,00; 0,00; 0,00; 74,38; 0,00; 5,56; 0,00
25;751;25;32;Уральский железнодорожный техникум;8;31;4;1;4;1;4;49;4;55;0;27;0;76;8;31; 16,74; 3,91; 45,03; 0,00; 1,62; 100,00; 32,84; 5,71; 94,52; 396,27; 0,00; 0,00; 0,00; 53,06; 97,44; 15,04; 0,00
26;751;25;32;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Каменск-Уральский техникум торговли и сервиса""";7;41;3;15;1;32;4;49;4;55;0;27;3;1;10;9; 24,64; 3,79; 19,50; 0,00; 0,82; 46,15; 47,06; 11,73; 114,47; 42,42; 0,00; 0,00; 100,00; 45,21; 100,00; 7,04; 0,69
27;751;25;32;"Государственное бюджетное образовательное учреждение среднего профессионального образования Свердловской области ""Уральский музыкальный колледж""";10;10;0;74;0;43;6;14;1;127;8;1;3;1;4;92; 100,00; 4,08; 85,00; 0,00; 0,00; 0,00; 42,57; 483,87; 0,00; 0,48; 36,81; 96,00; 100,00; 100,00; 0,00; 0,00; 0,00
28;751;25;32;Государственное автономное профессиональное образовательное учреждение Свердловской области «Первоуральский металлургический колледж»;10;10;1;45;2;20;5;27;6;18;0;27;1;64;7;46; 12,37; 3,84; 33,67; 27,36; 0,31; 66,67; 28,86; 83,88; 124,58; 156,04; 0,00; 0,00; 84,21; 32,60; 100,00; 3,80; 0,00
29;751;25;32;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Екатеринбургский политехникум""";8;31;4;1;0;43;5;27;5;33;0;27;2;49;8;31; 52,57; 3,66; 18,77; 0,00; 2,46; 0,00; 18,95; 75,60; 118,58; 58,90; 0,00; 0,00; 88,46; 31,85; 100,00; 8,45; 0,00
30;865;30;31;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Екатеринбургский техникум химического машиностроения""";5;64;4;1;1;32;3;72;6;18;0;27;3;1;9;19; 39,89; 3,49; 7,79; 0,00; 3,00; 50,00; 26,90; 16,76; 130,28; 115,94; 0,00; 0,00; 100,00; 48,61; 100,00; 6,55; 0,00
31;865;30;31;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Свердловское музыкальное училище имени П.И. Чайковского (колледж)""";9;22;1;45;0;43;5;27;5;33;3;9;2;49;6;58; 100,00; 4,16; 70,37; 0,00; 0,50; 0,00; 20,59; 131,11; 103,33; 15,76; 0,00; 43,78; 83,95; 58,08; 0,00; 17,59; 0,00
32;865;30;31;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Северный педагогический колледж""";7;41;1;45;0;43;4;49;7;9;0;27;3;1;9;19; 72,66; 4,14; 65,49; 0,29; 0,02; 0,00; 5,57; 17,02; 109,47; 435,91; 0,00; 0,00; 100,00; 65,70; 100,00; 5,08; 0,00
33;970;33;30;"Серовский филиал Государственного бюджетного профессионального образовательного учреждения "" Свердловский областной медицинский колледж""";9;22;1;45;0;43;3;72;6;18;0;27;3;1;8;31; 100,00; 3,84; 41,05; 2,74; 0,36; 0,00; 37,41; 1,20; 130,39; 178,70; 0,00; 0,00; 100,00; 44,71; 100,00; 14,48; 0,00
34;970;33;30;"Государственное бюджетное профессиональное образовательное учреждение ""Ирбитский аграрный техникум""";10;10;1;45;0;43;1;113;6;18;3;9;3;1;6;58; 100,00; 3,61; 17,46; 0,18; 0,42; 0,00; 0,00; 4,90; 101,65; 72,53; 0,00; 9,26; 100,00; 36,13; 100,00; 0,00; 0,00
